BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
,,,,KOLKATA,,700001,India
3/138,"ROAD ANDANKOVIL EAST, ST",,S.F.NO: 598/31B VADIVEL NAGAR,KARUR KARUR IN-TN IN 639008,TN,639008,India
100,,,,CHENGALPATTU,TN,603002,India
163,STATION KOHAT,METRO STATION KOHAT ENCLAVE PITAMPURA NEW DELHI IN-DL IN 110034,HOUSE NO  LANDMARK NEAR METRO STATION KOHAT ENCLAVE,NEW DELHI,DL,110034,India
AP - 10,"ROAD, CROSS ROAD",SEZ KANCHEEPURAM CHENGALPET IN-TN IN 603004,,CHENGALPET,TN,603004,India
462,,,SEC - 17 CHOPASNI HOUSING BOARD JODHPUR IN-RJ IN 342008,JODHPUR,RJ,342008,India
A-136,,,DEFENCE COLONY,NEW DELHI,DL,110024,India
6,"ST FLOOR, SECTOR 24 & 25A GURUGRAM IN-HR IN 122002",DLF SEZ,DLF CYBER CITY PHASE,GURUGRAM,HR,122002,India
A-48,,,A MIA IIND PHASE,JODHPUR,RJ,342001,India
,,,,PALLIPALAYAM,TN,638008,India
,,,A1/A-B4 MAIN ROAD CHATTARPUR EXTENSION,NEW DELHI,DL,110074,India
606,,,,AHMEDABAD,GJ,380051,India
,ST/FLR PRIM SAGAR CHSL SAHANA,,GR/1ST/FLR PRIM SAGAR CHSL SAHANA ENCLAVE,MUMBAI,MH,400050,India
54-B,"ST RAIL, CROSS ST RAIL",,PLOT NO:  12TH CROSS ST RAIL NAGAR,KANCHEEPURAM,TN,603203,India
,,,,COIMBATORE,TN,641402,India
,,,,COIMBATORE,TN,641605,India
,,,RAM NAGAR,VARANASI,UP,221008,India
11/16/2/25,,,SEC-23 DWARKA DELHI IN-DL IN 110077,DELHI,DL,110077,India
,,,,COOCH BEHAR,WB,736101,India
C-551,STRIAL AREA,,,DELHI,DL,110040,India
56,SECTOR-11 CBD BELAPUR,,SECTOR-11 CBD BELAPUR,MUMBAI,MH,400614,India
1201,,,BLOCK-A,KOLKATA,WB,700107,India
,,,M. P. NAGAR,BHOPAL,MP,492011,India
140/A/1B,,SHIVAJI UNIVERSITY SHIVAJI VIDYAPEETH AREA,,KOLHAPUR,MH,416004,India
,ROAD,RING ROAD,JAYANAGAR,HASSAN,KA,573201,India
131,"ROAD SIDCO INDUSTRIAL ESTATE, STRIAL ESTATE",,,KANCHIPURAM,,600044,India
B-1,SECTOR D,,LDA COLONY,KANPUR,,226012,India
,,,,KOLKATA,,700001,India
262,"ST FLOOR AND 2ND FLOOR JAY AMBE IND. ESTATE, ST-DELAD OLPAD",,BLOCK NO.,SURAT,GJ,394130,India
,ROAD,,,KADI,,382715,India
,,BY BIRGUDI SIHAWA NAGRI CHHATTISGARH DHAMTARI IN 493778,,DHAMTARI,,493778,India
,,,,MUMBAI,MH,400069,India
38/19,,,GALI NO-3 PATEL NAGAR,SONIPAT,,131001,India
18,ROAD,,,KOLKATA,,700001,India
744,SECTOR-4 5,,SECTOR-4 5,KARNAL,,132001,India
,,,,AHMEDABAD,,380007,India
,ROAD,,,RAJKOT,GJ,360022,India
,,,,KOLKATA,,700011,India
A-5,,,,DELHI,DL,110063,India
18,,,,KOLKATA,,700001,India
,,,,PATNA,,800020,India
P-15,,,INDIA EXCHANGE PLACE EXTENSION,KOLKATA,,700073,India
,,,,COIMBATORE,,641022,India
,,,,KOLKATA,,700011,India
,,PMPL DEPOT PIMPRI CHINCHWAD,,PUNE,,411026,India
,RD 34 PRAKASAM,,7-227A SUJATHA NAGAR,ONGOLE,,523001,India
,ROAD,SANGAM BRIDGE MAHARASHTRA PUNE IN 411001,,PUNE,,411001,India
D-108,,,,NASHIK,,422010,India
,,,,SALEM,,636003,India
12-7-184/4,,,,RAICHUR,,584134,India
,RDEN,,,INDORE,,452011,India
A-1,,,,MUMBAI,,400013,India
,ST FLOOR DC SILK MILLS BUILDING,CHUNAWALA ESTATE KONDIVITA ROAD MAHARASHTRA MUMBAI IN 400059,,MUMBAI,,400059,India
,LANE VIDYA,,4/3 LANE VIDYA NAGAR,GUNTUR,,522007,India
,,,,ERODE,,638107,India
,,,,KOLKATA,,700027,India
,,,,BILASPUR,CG,495001,India
,STADIUM,,,KESINGA,,766001,India
1303/1304,ROAD,LALJI PADA,GHANSHYAM ENCLAVE,MUMBAI,MH,400067,India
38,,,,CHENNAI,TN,600004,India
65,,,LAKSHMI NAGAR,TIRUPUR,,641602,India
,,,PHASE,NAVIMUMBAI,MH,400705,India
,"RDI PHATA, ST FLOOR",,SHIVALIK SANKALP PRASHANT NAGAR,NASHIK,,422010,India
B-24,,,/3 OKHLA PHASE,DELHI,,110020,India
,,,,SIKAR,RJ,332001,India
,,,,BANKURA,,722141,India
,,,NEW COLONY,ETAWAH,UP,206001,India
9-F,,,,JAIPUR,RJ,302013,India
,,KAMAL OIL MILL OPP WONDER MASALA,,MEHSANA,GJ,382715,India
,,,,MATHURA,UP,281121,India
,ROAD,,,MATHURA,UP,281121,India
,,,ELECTRA CHAMBERS MUKUND NAGAR,PUNE,MH,411037,India
22P1,STATION ANKARA DHROL HIGHWAY,66 KV SARAYA SUBSTATION ANKARA DHROL HIGHWAY,,RAJKOT,GJ,363650,India
,,,,BANGALORE,,560030,India
,,,,DELHI,GJ,380004,India
171,ROAD BAIPARAO,,,NAINITAL,,263140,India
222,,,,GURGAON,,122016,India
,STRIAL LAYOUT,,,BANGALORE,KA,560095,India
,,DLF CYBER CITY GURUGRAM GURUGRAM IN-HR IN 122002,,GURUGRAM,HR,122002,India
,,,,JAISALMER,RJ,345001,India
,,ICICI BANK MAJGAON ROAD RATNAGIRI RATNAGIRI IN-MH IN 415612,,RATNAGIRI,MH,415612,India
C-12,ROAD,,,JAIPUR,RJ,302001,India
L-7,,,,RAIPUR,,492001,India
433/434,,,PHASE,JAMNAGAR,GJ,361004,India
,,,,NEW DELHI,DL,110019,India
,,,H.NO. #17-1-391/5 SUBRAHMANYA NAGAR,HYDERABAD,TS,500059,India
,,,,DELHI,DL,110005,India
6,"ROAD, STHAN ROAD",,,RAIPUR,CG,492002,India
7/1B,STRIAL LAYOUT PH7 SY. NO. & 7/2,,PH7 SY. NO. & 7/2,BENGALURU,,560074,India
A-18,,,MILLAT NAGAR,MUMBAI,MH,400053,India
,,,SARGASAN GANDHINAGAR GANDHINAGAR,GANDHINAGAR,GJ,382421,India
,"STREET TILAK STREET, ST GODAVARI",,,KAKINADA,AP,533001,India
,,,,SARDARSHAHAR,RJ,331403,India
,,,,HANUMANGARH,RJ,335513,India
M-1,,,PHASE 3,ADITYAPUR,,832109,India
202/7,RDEZ,,,BARDEZ,GA,403507,India
,"ST, SECTOR 2",CIDCO OFFICE NEW PANVEL EAST,SECTOR 2,NAVI MUMBAI,,410206,India
S-64,ROAD,,VIDHYADHAR NAGAR,JAIPUR,RJ,302039,India
,,,,BALOD,CG,491227,India
R-68,,,SECTO INDUSTRIAL MODEL TOWNSHIP HARYANA FARIDABAD IN 121004,FARIDABAD,,121004,India
,"RD SP RINGRD BOPAL, ST ISCON AMBALI RD SP RINGRD BOPAL",,,AHMEDABAD,GJ,380058,India
R-3,,,SECTO BAWANA INDUSTRIAL AREA DELHI NEW DELHI IN 110039,DELHI,,110039,India
H-3,RDENS,,,MUMBAI,,400097,India
T-118,,,,PUNE,MH,411026,India
102,,,A BLOCK NO.  PALM BALLEGIO SHANKAR NAGAR,RAIPUR,,492001,India
19-4-355/2,,,,HYDERABAD,TS,500064,India
,RD FLOOR,,,JODHPUR,RJ,342003,India
,ROAD,,,RAMANATHAPURAM,TN,623120,India
,ROAD,,,SIRSA,,125055,India
206/1324,ROAD,,SHIVAJI NAGAR,PUNE,MH,411005,India
,,,BELLAD CHAMBERS UNKAL CROSS VIDYANAGAR,HUBLI,KA,580031,India
9,,,,RANCHI,JH,834002,India
14,ROAD,,SHIVAJI NAGAR,PUNE,MH,411004,India
,,,SECOND FLOOR RIKAB GUNJ HYDERABAD IN-TS IN 500002,HYDERABAD,TS,500002,India
D-104,,,,AHMEDABAD,GJ,382350,India
G-1047,,,,DELHI,,110040,India
,,,,KOLKATA,,700033,India
